Index,Book Name,Author,Rating,Number of Votes,Score
4534,The Lowland,Jhumpa Lahiri,3.87,94684,1118
4535,"The Widow (Kate Waters, #1)",Fiona Barton,3.5,113020,1118
4536,Lucky Jim,Kingsley Amis,3.75,30616,1117
4537,"Thrall (Thrall, #1)",Julie Mannino,3.86,174,1117
4538,"All Things Wise and Wonderful (All Creatures Great and Small, #5-6)",James Herriot,4.44,35872,1116
4539,"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,4.51,298449,1116
4540,Kokoro,Natsume Sōseki,4.04,34754,1115
4541,"The Enchantress (The Secrets of the Immortal Nicholas Flamel, #6)",Michael Scott,4.24,46444,1115
4542,"On the Fence (Old Town Shops, #2)",Kasie West,4.02,62666,1115
4543,A Gracious Enemy & After the War Volume One,Michael G. Kramer,4.28,11086,1114
4544,"Dark Days (Skulduggery Pleasant, #4)",Derek Landy,4.42,24209,1113
4545,"The Adoration of Jenna Fox (Jenna Fox Chronicles, #1)",Mary E. Pearson,3.69,52298,1113
4546,Five Quarters of the Orange,Joanne Harris,3.87,37473,1113
4547,"That Hideous Strength (The Space Trilogy, #3)",C.S. Lewis,3.92,42297,1112
4548,"The Elfstones of Shannara (The Original Shannara Trilogy, #2)",Terry Brooks,3.98,72186,1112
4549,Just the Sexiest Man Alive,Julie James,3.91,45198,1112
4550,The Handler (Nick Reagan #1),Jeffrey S. Stephens,4.32,646,1112
4551,"The Last Command (Star Wars: The Thrawn Trilogy, #3)",Timothy Zahn,4.26,61557,1111
4552,"Small Favor (The Dresden Files, #10)",Jim Butcher,4.43,112226,1111
4553,Nobody's Boy,Hector Malot,4.39,21363,1111
4554,The Maidens,Alex Michaelides,3.62,373227,1110
4555,Rose Madder,Stephen King,3.75,117422,1108
4556,"Let's Explore Diabetes with Owls: Essays, Etc.",David Sedaris,3.85,146846,1108
4557,"Little Town on the Prairie (Little House, #7)",Laura Ingalls Wilder,4.2,90666,1107
4558,Hey Nostradamus!,Douglas Coupland,3.73,19154,1106
4559,Love Connection: Romance in the Land of the Rising Sun,John Rachel,4.37,1326,1106
4560,The Satanic Bible,Anton Szandor LaVey,3.41,13960,1105
4561,The Tartar Steppe,Dino Buzzati,4.21,33791,1105
4562,"A Beautiful Wedding (Beautiful, #2.5)",Jamie McGuire,3.95,70086,1105
4563,Bad Feminist,Roxane Gay,3.93,115568,1105
4564,"Covet (Fallen Angels, #1)",J.R. Ward,3.92,50412,1104
4565,The Confessions of Nat Turner,William Styron,3.95,15795,1104
4566,"Inside Out (Insider, #1)",Maria V. Snyder,3.82,24797,1104
4567,"The Republic of Thieves (Gentleman Bastard, #3)",Scott Lynch,4.22,112558,1104
4568,Brown Girl Dreaming,Jacqueline Woodson,4.15,89540,1104
4569,Mason & Dixon,Thomas Pynchon,4.12,11654,1103
4570,Felix Ever After,Kacen Callender,4.24,63592,1103
4571,The Reluctant Fundamentalist,Mohsin Hamid,3.73,80082,1103
4572,"The Farthest Shore (Earthsea Cycle, #3)",Ursula K. Le Guin,4.13,118009,1102
4573,Karna's Wheel,Michael Tobert,4.27,423,1102
4574,"Savvy (Savvy, #1)",Ingrid Law,3.98,49051,1101
4575,"The Gathering (Darkness Rising, #1)",Kelley Armstrong,4.02,64488,1101
4576,"Bad Things (Tristan & Danika, #1)",R.K. Lilley,4.28,32675,1101
4577,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,3.99,110542,1101
4578,"Number 13 (Lightmasters, #1)",M.G. Wells,4.18,266,1100
4579,The Traveling Vampire Show,Richard Laymon,3.82,9140,1100
4580,Killing Lincoln: The Shocking Assassination that Changed America Forever,Bill O'Reilly,4.05,105728,1100
4581,The Power of Your Subconscious Mind,Joseph Murphy,4.07,79793,1100
4582,Caged,Shanna Ehrlich,3.71,483,1100
4583,Nicu II and Victoria's Incestuous Romance,Kenneth Jarrett Singleton,4.39,465,1100
4585,Squelch,John Halkin,3.43,84,1100
4586,A Glow of Candles and Other Stories,Charles L. Grant,3.69,51,1100
4587,The Clone,Theodore L. Thomas,3.45,111,1100
4588,Tales of Horror and the Supernatural,Arthur Machen,4.14,273,1100
4589,The Quaker City: The Monks of Monk Hall,George Lippard,3.59,217,1100
4590,Death-Coach,J.N. Williamson,3.05,38,1100
4591,The Glass Inferno,Thomas N. Scortia,3.84,354,1100
4592,Your Secret Admirer,Carl Laymon,3.72,246,1100
4593,"On the Development of the Skeleton of the Tuatara, Sphenodon Punctatus ; With Remarks on the egg, on the Hatching and on the Hatched Young",H H 1875-1966 Swinnerton,0.0,0,1100
4594,"The Weapon of Night (Killmaster, #19)",Nick Carter,3.43,14,1100
4595,Nightwork,Irwin Shaw,4.04,2408,1100
4596,Sunstruck,Melissa Bellis,4.72,81,1100
4597,From Dance Hall to Opium Den,Griff,0.0,0,1100
4598,Critique of Pure Reason,Immanuel Kant,3.96,38142,1099
4599,"Body Double (Rizzoli & Isles, #4)",Tess Gerritsen,4.18,59494,1099
4600,Leap of Faith (The Rufino Factor Book One),Joshua Rem,4.19,242,1099
4601,"Proud Pada (The Last Lumenian, #3)",S.G. Blaise,4.35,942,1099
4602,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,4.05,121229,1098
4603,The Girl Who Chased the Moon,Sarah Addison Allen,3.97,62064,1098
4604,Supernatural Hero,Eran Gadot,4.41,205,1098
4605,Mud Vein,Tarryn Fisher,4.09,25675,1098
4606,Cancer Ward,Aleksandr Solzhenitsyn,4.25,17027,1098
4607,"Lady Knight (Protector of the Small, #4)",Tamora Pierce,4.33,54284,1098
4608,A Touch of Dead,Charlaine Harris,3.85,49418,1097
4609,They Cage the Animals at Night: The True Story of an Abandoned Child's Struggle for Emotional Survival,Jennings Michael Burch,4.35,9921,1097
4610,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4.48,1017160,1097
4611,"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)",Michael Connelly,4.22,103552,1096
4612,The Girl Who Fell Beneath the Sea,Axie Oh,4.1,75787,1096
4613,"Tricks (Tricks, #1)",Ellen Hopkins,4.28,39893,1095
4614,How Not to Murder Your Grumpy,Carol Wyer,4.07,101,1095
4615,"Throne of Novoxos (Van Laven Chronicles, #1)",Tyler Chase,3.64,2268,1095
4616,"MaddAddam (MaddAddam, #3)",Margaret Atwood,4.02,78687,1094
4617,A Day in the Life of Cowboy Mike and Winston,Michael Eastwood,4.92,87,1094
4618,The Member of the Wedding,Carson McCullers,3.81,18838,1093
4619,To Dream the Blackbane,Richard J. O'Brien,4.5,262,1093
4620,Never Go With Your Gut: How Pioneering Leaders Make the Best Decisions and Avoid Business Disasters,Gleb Tsipursky,4.15,241,1093
4621,Niebla,Miguel de Unamuno,4.05,20377,1092
4622,Small Island,Andrea Levy,4.01,36038,1092
4624,Diary of a Madman and Other Stories,Nikolai Gogol,4.05,18210,1092
4625,Bottled Lightning,L.M. Weeks,4.07,686,1092
4626,The Grand Design,Stephen Hawking,4.06,74817,1091
4627,Under the Bus,Kyle Keyes,4.19,322,1091
4628,Aura,Carlos Fuentes,3.82,37936,1090
4629,"From Russia with Love (James Bond, #5)",Ian Fleming,3.91,36615,1090
4630,The Tender Bar: A Memoir,J.R. Moehringer,3.99,43712,1089
4631,"Sloppy Firsts (Jessica Darling, #1)",Megan McCafferty,3.95,36127,1089
4632,The Old Man Who Read Love Stories,Luis Sepúlveda,3.93,26786,1089
4633,"A Deadly Education (The Scholomance, #1)",Naomi Novik,3.96,187783,1089
4634,Seven Gothic Tales,Isak Dinesen,3.88,3581,1088
4635,"Hallowed (Unearthly, #2)",Cynthia Hand,4.09,75461,1088
4636,Darkness Visible,William Golding,3.48,1610,1088
4637,"The Last Star (The 5th Wave, #3)",Rick Yancey,3.61,77480,1088
4638,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,4.41,177167,1088
4639,"The Lost Prince (The Iron Fey: Call of the Forgotten, #1)",Julie Kagawa,4.02,28344,1087
4641,"Rock Chick (Rock Chick, #1)",Kristen Ashley,4.17,58496,1086
4642,"Defiance (Defiance, #1)",C.J. Redwine,3.67,28865,1086
4643,"Winger (Winger, #1)",Andrew Smith,4.04,23006,1086
4644,"Spin the Dawn (The Blood of Stars, #1)",Elizabeth Lim,3.98,59891,1086
4645,"The Black Cauldron (The Chronicles of Prydain, #2)",Lloyd Alexander,4.12,65361,1085
4646,How High We Go in the Dark,Sequoia Nagamatsu,3.83,61152,1085
4647,Sole Survivor,Dean Koontz,3.81,31003,1084
4648,"Providence (Providence, #1)",Jamie McGuire,3.97,27797,1084
4649,"Bad Luck and Trouble (Jack Reacher, #11)",Lee Child,4.22,96308,1084
4650,Live Digital or Be Irrelevant: My Firsthand Narrative of Transformation to Becoming a Digital Citizen Ready for a Dynamic Future,A.K. Smith-Ford,4.34,191,1084
4651,Coming Through Slaughter,Michael Ondaatje,3.87,6707,1083
4652,The Sisters Club,Megan McDonald,4.03,2160,1083
4653,"Little Men (Little Women, #2)",Louisa May Alcott,3.88,64455,1083
4654,Jinx,Meg Cabot,3.72,27199,1083
4655,"Chase the Dark (Steel & Stone, #1)",Annette Marie,4.17,13767,1083
4656,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 1,Mò Xiāng Tóng Xiù,4.55,24088,1083
4657,"Almost Heaven (Sequels, #3)",Judith McNaught,4.33,28850,1082
4658,"Tales from a Not-So-Happy Heartbreaker (Dork Diaries, #6)",Rachel Renée Russell,4.33,28150,1082
4659,"The Eighth Sister (Charles Jenkins, #1)",Robert Dugoni,4.21,38421,1082
4660,Bunny,Mona Awad,3.5,235833,1082
4661,Flush,Carl Hiaasen,3.89,31764,1081
4662,The Man Who Laughs,Victor Hugo,4.24,13838,1081
4663,Secret Slave: Kidnapped and abused for 13 years. This is my story of survival.,Anna Ruston,4.19,6460,1081
4664,Freedom: My Book of Firsts,Jaycee Dugard,3.54,5065,1081
4665,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,4.08,52547,1080
4666,"The Sandman, Vol. 4: Season of Mists",Neil Gaiman,4.53,79382,1080
4667,"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,4.02,25160,1080
4668,"In the Blood (Terminal List, #5)",Jack Carr,4.5,21104,1080
4669,Invisible,Paul Auster,3.74,21927,1079
4670,"Hawksong (The Kiesha'ra, #1)",Amelia Atwater-Rhodes,4.17,22777,1079
4671,Where the Mountain Meets the Moon,Grace Lin,4.31,51138,1079
4672,Behind Her Eyes,Sarah Pinborough,3.8,178646,1079
4673,Madam Speaker: Nancy Pelosi and the Lessons of Power,Susan Page,4.16,1717,1079
4674,"Maisie Dobbs (Maisie Dobbs, #1)",Jacqueline Winspear,3.93,115852,1078
4675,A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments,David Foster Wallace,4.14,50524,1078
4676,The Teachings of Don Juan: A Yaqui Way of Knowledge,Carlos Castaneda,3.94,43703,1078
4677,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,3.76,68082,1078
4678,"A Job From Hell (Ancient Legends, #1)",Jayde Scott,3.56,8322,1078
4679,"Motorcycle Man (Dream Man, #4)",Kristen Ashley,4.38,57765,1078
4680,Musicophilia: Tales of Music and the Brain,Oliver Sacks,3.95,70615,1078
4681,Behavior Reports: A WWII Submarine Adventure Novel (USS Bull Shark Naval Thriller series Book 5),Scott Cook,4.38,1587,1078
4682,"Spellsinger (Spellsinger, #1)",Alan Dean Foster,3.86,7365,1077
4683,The Girl Next Door,Jack Ketchum,3.93,47081,1077
4684,State of Wonder,Ann Patchett,3.9,193096,1077
4685,Obsession,Jennifer L. Armentrout,4.1,29437,1077
4686,"Mossflower (Redwall, #2)",Brian Jacques,4.12,70430,1077
4687,Outer Dark,Cormac McCarthy,3.89,22182,1076
4688,Save Yourself,Kelly Braffet,3.46,3798,1076
4689,The Only Good Indians,Stephen Graham Jones,3.7,90250,1076
4690,"Jesus Listens: Daily Devotional Prayers of Peace, Joy, and Hope (A 365-Day Prayer Book)",Sarah Young,4.61,1085,1076
4691,"Arrow of the Mist (Arrow of the Mist, #1)",Christina Mercer,3.95,388,1075
4692,The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,4.16,54484,1075
4693,Becoming Free Indeed: My Story of Disentangling Faith from Fear,Jinger Duggar Vuolo,3.6,44008,1075
4694,The Surgeon,Leslie Wolfe,3.88,49671,1075
4695,"Sandry's Book (Circle of Magic, #1)",Tamora Pierce,4.03,44071,1074
4696,"The Dark Divine (The Dark Divine, #1)",Bree Despain,3.8,38413,1074
4697,"Love, Lex (The Undergrad Years, #1)",Avery Aster,3.24,1730,1074
4698,"Second Grave on the Left (Charley Davidson, #2)",Darynda Jones,4.24,53313,1074
4699,Super Ninja: The Sword of Heaven,William Kely McClung,4.37,1165,1074
4700,On a Pale Horse (Incarnations of Immortality #1),Piers Anthony,4.13,40426,1073
4701,"Dawn (Xenogenesis, #1)",Octavia E. Butler,4.16,55478,1073
4702,The Letters of Vincent van Gogh,Vincent van Gogh,4.1,101417,1073
4703,Long Walk: The True Story of a Trek to Freedom,Slavomir Rawicz,4.24,20634,1073
4704,"The Queen of the Tearling (The Queen of the Tearling, #1)",Erika Johansen,3.98,96722,1073
4705,"Memory Man (Amos Decker, #1)",David Baldacci,4.12,146774,1073
4706,Heal Your Body: The Mental Causes for Physical Illness and the Metaphysical Way to Overcome Them,Louise L. Hay,4.34,20142,1073
4707,Obama: From Promise to Power,David Mendell,4.17,2628,1073
4708,"Betrayals (Strange Angels, #2)",Lili St. Crow,4.07,26601,1072
4709,One for the Murphys,Lynda Mullaly Hunt,4.33,32411,1072
4710,One Plus One,Jojo Moyes,3.96,181099,1071
4711,"Final Offer (Dreamland Billionaires, #3)",Lauren Asher,4.22,254629,1071
4712,"Persepolis 2: The Story of a Return (Persepolis, #2)",Marjane Satrapi,4.22,76645,1070
4713,"Song of Susannah (The Dark Tower, #6)",Stephen King,3.99,164529,1070
4714,Fevre Dream,George R.R. Martin,3.89,31181,1070
4715,The Other,Thomas Tryon,3.98,22332,1070
4716,"The Cellar (The Cellar, #1)",Natasha Preston,3.9,82407,1070
4717,The Importance of Being Earnest and Other Plays,Oscar Wilde,4.23,51269,1069
4718,Los siete maridos de Evelyn Hugo,Taylor Jenkins Reid,4.41,3380545,1069
4719,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1239242,1069
4720,George's Marvellous Medicine,Roald Dahl,4.03,94662,1068
4721,Glucose Control Eating: Lose Weight Stay Slimmer Live Healthier Live Longer,Rick Mystrom,4.31,937,1068
4722,The Nicomachean Ethics,Aristotle,3.99,52506,1067
4723,Pulp,Charles Bukowski,3.67,41023,1067
4724,The Anubis Gates,Tim Powers,3.9,17032,1067
4725,"Hard Bitten (Chicagoland Vampires, #4)",Chloe Neill,4.14,39162,1067
4726,"Secrets II (Secrets, #2)",Julie Mannino,3.93,121,1067
4727,Those Who Save Us,Jenna Blum,4.11,102030,1066
4728,The Windup Girl,Paolo Bacigalupi,3.75,76128,1066
4729,Honor's Splendour,Julie Garwood,4.23,33417,1066
4730,The Well House,M.S. Matassa,4.31,342,1066
4731,First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,4.34,49425,1065
4732,To Have and Have Not,Ernest Hemingway,3.52,33828,1065
4733,"Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood, #4)",Ann Brashares,3.82,76509,1065
4734,"The American Roommate Experiment (Love Deception, #2)",Elena Armas,3.81,234665,1065
4735,The Second Mrs. Astor,Shana Abe,3.97,62558,1065
4736,"The Emotion Code: How to Release Your Trapped Emotions for Abundant Health, Love, and Happiness",Bradley Nelson,3.97,4992,1065
4737,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric Weiner,3.84,37503,1064
4738,Glue,Irvine Welsh,3.9,14561,1064
4739,"Peeps (Peeps, #1)",Scott Westerfeld,3.78,25285,1063
4740,"Sideways Stories from Wayside School (Wayside School, #1)",Louis Sachar,4.16,98884,1063
4741,"Infinite Days (Vampire Queen, #1)",Rebecca Maizel,3.89,9604,1063
4742,Seven Years in Tibet,Heinrich Harrer,4.1,25043,1063
4743,"Tales from a Not-So-Fabulous Life (Dork Diaries, #1)",Rachel Renée Russell,4.11,106895,1063
4744,"Succubus Heat (Georgina Kincaid, #4)",Richelle Mead,4.16,27764,1062
4745,American Dirt,Jeanine Cummins,4.37,610384,1062
4746,"The Blood Traitor (The Prison Healer, #3)",Lynette Noni,4.45,53469,1062
4747,"Secrets (Secrets, #1)",Julie Mannino,3.96,148,1062
4748,Dempsey (Tier One #7),Brian Andrews,4.6,2296,1062
4749,Androne (Androne #1),Dwain Worrell,3.92,3195,1062
4750,"Cursor's Fury (Codex Alera, #3)",Jim Butcher,4.36,69013,1061
4751,"The Keepsake (Rizzoli & Isles, #7)",Tess Gerritsen,4.12,45248,1061
4752,Dinners with Ruth: A Memoir on the Power of Friendships,Nina Totenberg,4.13,16944,1061
4753,"A Dangerous Path (Warriors, #5)",Erin Hunter,4.45,51828,1060
4754,"Kidnapped (David Balfour, #1)",Robert Louis Stevenson,3.79,65767,1059
4755,Antony and Cleopatra,William Shakespeare,3.71,40958,1059
4756,"This Book Is Not Good for You (Secret, #3)",Pseudonymous Bosch,4.28,22933,1059
4757,"The Hidden Staircase (Nancy Drew Mystery Stories, #2)",Carolyn Keene,3.96,42607,1058
4758,"Succubus Revealed (Georgina Kincaid, #6)",Richelle Mead,4.27,22394,1058
4759,"The Promise (Reuven Malther, #2)",Chaim Potok,4.19,13848,1058
4761,"And I Darken (The Conqueror's Saga, #1)",Kiersten White,3.81,52248,1057
4762,"The Burning Maze (The Trials of Apollo, #3)",Rick Riordan,4.28,100079,1057
4763,Only Forward,Michael Marshall Smith,4.22,5932,1056
4764,Cosmicomics,Italo Calvino,4.16,19626,1055
4765,Pedagogy of the Oppressed,Paulo Freire,4.3,35878,1055
4766,War with the Newts,Karel Čapek,4.17,15428,1055
4767,"I Wish You All the Best (I Wish You All the Best, #1)",Mason Deaver,4.16,51031,1055
4768,Everybody Knows,Jordan Harper,3.74,9103,1055
4769,The Soft Machine (The Nova Trilogy #1),William S. Burroughs,3.43,6692,1054
4770,Understanding Comics: The Invisible Art,Scott McCloud,4.01,124664,1053
4771,"Eve (Eve, #1)",Anna Carey,3.68,43809,1053
4772,"The Empire of Gold (The Daevabad Trilogy, #3)",S.A. Chakraborty,4.5,62161,1053
4773,"Page (Protector of the Small, #2)",Tamora Pierce,4.25,50695,1052
4774,Endless Night,Agatha Christie,3.81,39724,1052
4775,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,4.05,89535,1052
4776,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,4.08,66532,1052
4777,"Disney After Dark (Kingdom Keepers, #1)",Ridley Pearson,3.9,30062,1052
4778,"Yours Truly (Part of Your World, #2)",Abby Jimenez,4.32,504351,1052
4779,How to Be a Woman,Caitlin Moran,3.72,109675,1051
4780,The Catastrophic History of You and Me,Jess Rothenberg,4.03,16447,1051
4781,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,4.01,213321,1050
4782,"Captivated by You (Crossfire, #4)",Sylvia Day,4.12,120258,1050
4783,"The Snowy Day (Peter, #1)",Ezra Jack Keats,4.2,117029,1049
4784,Whisper of Death,Christopher Pike,3.8,3465,1049
4785,Murder At The Fort: A Double Homicide Cold Case And Cover Up!,Bob Marmion,4.37,364,1049
4786,"Everlasting (The Immortals, #6)",Alyson Noel,3.9,48569,1048
4787,"Forever, Christian",Tina Traverse,4.48,67,1047
4788,"You Really Are Full of Shit, Aren't You?",Karl Wiggins,4.16,191,1047
4789,Loki's Price,Julie Mannino,4.32,73,1047
4790,"Checkmate (The Lymond Chronicles, #6)",Dorothy Dunnett,4.7,3679,1046
4791,"The Twelve (The Passage, #2)",Justin Cronin,4.03,102572,1046
4792,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.49,23469,1045
4793,"Lila: An Inquiry Into Morals (Phaedrus, #2)",Robert M. Pirsig,3.84,7186,1045
4794,"Heretics of Dune (Dune, #5)",Frank Herbert,3.86,89256,1045
4795,The Sot-Weed Factor,John Barth,4.11,7468,1045
4796,"Ice Station (Shane Schofield, #1)",Matthew Reilly,4.12,33550,1045
4797,The Charterhouse of Parma,Stendhal,3.79,18750,1045
4798,Calico Jack in your Garden,Karl Wiggins,4.24,212,1045
4799,A Castle of Doomsday,Michael G. Kramer,4.27,3104,1045
4800,In Plain Sight: A True Story of Kidnapping and Rape,Anna D. Stoddard,4.28,2252,1045
4801,The Horror at Murden Cove (A Thomas Austin Crime Thriller #4),D.D. Black,4.39,4372,1045
4802,"The Warden and the Wolf King (The Wingfeather Saga, #4)",Andrew Peterson,4.75,14408,1044
4803,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,4.19,77261,1044
4804,Ramonst,A.F. Knott,4.45,262,1044
4805,"A Merciful Truth (Mercy Kilpatrick, #2)",Kendra Elliot,4.28,29957,1044
4806,Before We Were Strangers,Renee Carlino,4.07,131269,1043
4807,Going After Cacciato,Tim O'Brien,3.9,14121,1041
4808,Life Expectancy,Dean Koontz,4.01,38556,1041
4809,Fragile Things: Short Fictions and Wonders,Neil Gaiman,3.96,71173,1041
4810,The Information,Martin Amis,3.6,6207,1041
4811,"Midnight Sacrifice (Midnight, #2)",Melinda Leigh,4.24,19595,1041
4812,"The Age of Reason (Roads to Freedom, #1)",Jean-Paul Sartre,3.98,15155,1039
4813,"Dance of Death (Pendergast, #6; Diogenes, #2)",Douglas Preston,4.19,33972,1039
4814,"Dragonsdawn (Pern, #9)",Anne McCaffrey,4.22,40575,1039
4815,"The Haunted (The Hollow, #2)",Jessica Verday,4.14,15286,1039
4816,The Design of Everyday Things,Donald A. Norman,4.15,44780,1039
4817,Season of Migration to the North,Tayeb Salih,3.72,30371,1039
4818,The Vegetarian,Han Kang,3.59,188947,1039
4819,"Mio, My Son",Astrid Lindgren,4.1,14425,1038
4820,"Front Desk (Front Desk, #1)",Kelly Yang,4.38,40815,1038
4821,Suicide Notes,Michael Thomas Ford,3.81,49241,1037
4822,A List of Cages,Robin Roe,4.25,26341,1037
4823,"The Coming of Conan the Cimmerian (Conan the Cimmerian, #1)",Robert E. Howard,4.16,14035,1036
4824,"The Darkest Temptation (Made, #3)",Danielle Lori,4.04,126215,1035
4825,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,3.95,120593,1034
4826,Grande Sertão: Veredas,João Guimarães Rosa,4.61,5635,1034
4827,Nostromo,Joseph Conrad,3.81,17256,1033
4828,The Beginning of Everything,Robyn Schneider,3.72,59958,1033
4829,Laskar Pelangi,Andrea Hirata,4.25,30861,1032
4830,Hunting Prince Dracula (Stalking Jack the Ripper #2),Kerri Maniscalco,4.2,78128,1031
4831,"Soul Eater (Chronicles of Ancient Darkness, #3)",Michelle Paver,4.3,13279,1030
4832,Paddy Clarke Ha Ha Ha,Roddy Doyle,3.75,23318,1030
4833,Another Country,James Baldwin,4.3,29066,1030
4834,Apology,Plato,4.2,58773,1030
4835,"The Iron Trial (Magisterium, #1)",Holly Black,3.96,78408,1029
4836,"Godsgrave (The Nevernight Chronicle, #2)",Jay Kristoff,4.45,64689,1029
4837,"The Crippled God (Malazan Book of the Fallen, #10)",Steven Erikson,4.51,31212,1028
4838,"Until I Die (Revenants, #2)",Amy Plum,4.16,28920,1028
4839,"The Chocolate War (Chocolate War, #1)",Robert Cormier,3.49,45800,1027
4840,"Terms and Conditions (Dreamland Billionaires, #2)",Lauren Asher,4.11,391599,1027
4841,"Bleach, Vol. 1",Tite Kubo,4.26,183275,1026
4842,Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,4.13,23276,1026
4843,The Bronze Bow,Elizabeth George Speare,4.01,26004,1025
4844,"Star Wars: Revenge of the Sith (Star Wars Novelizations, #3)",Matthew Woodring Stover,4.29,21344,1025
4845,The Informers,Bret Easton Ellis,3.39,19267,1025
4846,"Touch the Dark (Cassandra Palmer, #1)",Karen Chance,3.72,36464,1024
4847,"Iron Crowned (Dark Swan, #3)",Richelle Mead,4.06,18526,1024
4848,Saving Francesca,Melina Marchetta,3.99,33139,1024
4849,Capitães da Areia,Jorge Amado,4.36,27201,1024
4850,All This Time,Mikki Daughtry,3.9,46167,1024
4851,"Debt of Honor (Jack Ryan, #7)",Tom Clancy,4.1,50046,1023
4852,Amazonia,James Rollins,4.15,34121,1023
4853,The Cement Garden,Ian McEwan,3.54,33037,1023
4854,"Passion Unleashed (Demonica, #3)",Larissa Ione,4.28,36152,1023
4855,Cycle of the Werewolf,Stephen King,3.66,60324,1023
4856,"Summer of My German Soldier (Summer of My German Soldier, #1)",Bette Greene,3.69,17503,1022
4857,"Inkheart / Inkspell / Inkdeath (The Inkheart Trilogy, #1-3)",Cornelia Funke,4.21,19417,1022
4858,The Mist,Stephen King,3.94,163603,1022
4859,Girl in Translation,Jean Kwok,3.99,57280,1022
4860,"The Pianist: The Extraordinary Story of One Man's Survival in Warsaw, 1939–45",Władysław Szpilman,4.25,78344,1022
4861,"My Lady Jane (The Lady Janies, #1)",Cynthia Hand,4.01,69280,1022
4862,"The Firm (The Firm, #1)",John Grisham,4.25,98780,1022
4863,"Shadow Puppets (The Shadow Series, #3)",Orson Scott Card,3.9,60407,1021
4864,"Bluestar's Prophecy (Warriors Super Edition, #2)",Erin Hunter,4.54,18154,1021
4865,A Lesson Before Dying,Ernest J. Gaines,3.98,61432,1021
4866,Modern Romance,Aziz Ansari,3.8,188304,1021
4867,While Time Remains: A North Korean Defector's Search for Freedom in America,Yeonmi Park,3.99,4069,1021
4868,"Immortal Beloved (Immortal Beloved, #1)",Cate Tiernan,4.09,14891,1020
4869,The First Phone Call from Heaven,Mitch Albom,3.78,67826,1020
4870,The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,4.2,59069,1020
4871,Fyodor Dostoyevsky's Crime and Punishment,John D. Simons,4.46,2257,1018
4872,Half Broke Horses,Jeannette Walls,4.08,167410,1018
4873,"Live to Tell (Detective D.D. Warren, #4)",Lisa Gardner,4.18,43635,1018
4874,"The Ruby Circle (Bloodlines, #6)",Richelle Mead,4.23,51958,1018
4875,"Bite Club (The Morganville Vampires, #10)",Rachel Caine,4.21,31033,1018
4876,Happy Halloween,Othen Donald Dale Cummings,4.64,55,1018
4877,Shadowland,Peter Straub,3.89,12401,1017
4878,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,3.88,207282,1017
4879,"The Sandman, Vol. 9: The Kindly Ones",Neil Gaiman,4.59,51642,1017
4880,The Undoing Project: A Friendship That Changed Our Minds,Michael Lewis,3.99,60980,1017
4881,"All Fall Down (Embassy Row, #1)",Ally Carter,3.86,29774,1016
4882,Zeno's Conscience,Italo Svevo,3.77,28811,1016
4883,The Radium Girls: The Dark Story of America’s Shining Women,Kate Moore,4.15,158829,1016
4884,Death Note Box Set,Tsugumi Ohba,4.53,5570,1015
4885,The White Album,Joan Didion,4.05,42568,1015
4886,"The Chemistry of Death (David Hunter, #1)",Simon Beckett,4.17,33467,1015
4887,"Sourcery (Discworld, #5; Rincewind, #3)",Terry Pratchett,3.91,103602,1014
4888,"Black Butler, Vol. 1 (Black Butler, #1)",Yana Toboso,4.35,136230,1014
4889,"Seduction and Snacks (Chocolate Lovers, #1)",Tara Sivec,4.06,53114,1014
4890,"The Monstrumologist (The Monstrumologist, #1)",Rick Yancey,3.91,20061,1014
4891,Six Days of the Condor,James Grady,4.08,19162,1014
