Index,Book Name,Author,Rating,Number of Votes,Score
203,"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13,208919,88206
204,Oliver Twist,Charles Dickens,3.88,403101,87479
205,Treasure Island,Robert Louis Stevenson,3.85,508335,87248
206,Jonathan Livingston Seagull,Richard Bach,3.86,258399,86663
207,Ulysses,James Joyce,3.76,131066,84743
208,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.54,806260,84155
209,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.66,2700272,83405
210,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.41,3380545,83237
211,The Boy in the Striped Pajamas,John Boyne,4.16,871027,83213
212,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.11,986497,81906
213,"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.96,452457,81353
214,Misery,Stephen King,4.23,768156,81001
215,"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.09,272401,79612
216,A Farewell to Arms,Ernest Hemingway,3.82,331298,78587
217,David Copperfield,Charles Dickens,4.03,244859,78318
218,The Canterbury Tales,Geoffrey Chaucer,3.52,227369,78053
219,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.3,880536,77961
220,A Little Princess,Frances Hodgson Burnett,4.22,312288,77528
221,Gone Girl,Gillian Flynn,4.14,3207116,77240
222,The World According to Garp,John Irving,4.1,232157,77194
223,Thirteen Reasons Why,Jay Asher,3.84,990997,77066
224,The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.46,1390,75711
225,His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29,164068,74523
226,The Green Mile,Stephen King,4.48,333484,74183
227,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,955922,73854
228,"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.42,564348,73592
229,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.54,606639,73383
230,"Shōgun (Asian Saga, #1)",James Clavell,4.41,193592,73036
231,Schindler’s List,Thomas Keneally,4.34,162086,72754
232,The Silmarillion,J.R.R. Tolkien,4.02,306472,72218
233,The Velveteen Rabbit,Margery Williams Bianco,4.31,262850,72113
234,The Iliad / The Odyssey,Homer,4.06,78483,72076
235,The Trial,Franz Kafka,3.95,347227,71303
236,Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,426593,70286
237,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,386722,69484
238,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.08,503393,69236
239,Man’s Search for Meaning,Viktor E. Frankl,4.37,760545,68249
240,"Fallen (Fallen, #1)",Lauren Kate,3.72,597020,68243
241,The Sun Also Rises,Ernest Hemingway,3.79,459399,67982
242,"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.37,292319,67529
243,A Confederacy of Dunces,John Kennedy Toole,3.89,282633,67075
244,The Secret Magdalene,Ki Longfellow,4.15,4648,65329
245,The Crucible,Arthur Miller,3.6,425098,64798
246,The Screwtape Letters,C.S. Lewis,4.27,467429,64493
247,Cat’s Cradle,Kurt Vonnegut Jr.,4.15,414029,64402
248,The Phantom of the Opera,Gaston Leroux,3.96,253544,64398
249,The Wind in the Willows,Kenneth Grahame,4.02,226407,64157
250,"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.07,615488,64099
251,A Light in the Attic,Shel Silverstein,4.36,457330,64063
252,"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.32,299651,62990
253,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.1,3357704,62978
254,Blindness,José Saramago,4.17,304608,62245
255,The God of Small Things,Arundhati Roy,3.96,306674,62243
256,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.47,334388,61880
257,"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.01,417225,60754
258,"A Clash of Kings (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,964839,60641
259,Girl with a Pearl Earring,Tracy Chevalier,3.93,750144,60502
260,"The Lord of the Rings (Middle Earth, #2-4)",J.R.R. Tolkien,4.53,692664,60385
261,"Uglies (Uglies, #1)",Scott Westerfeld,3.85,682224,59630
262,The Wind-Up Bird Chronicle,Haruki Murakami,4.15,293919,59546
263,Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14,473009,58952
264,The House of the Spirits,Isabel Allende,4.28,283790,58850
265,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.59,684279,58340
266,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,771624,58009
267,She’s Come Undone,Wally Lamb,3.91,351495,57635
269,"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,486873,57131
270,Speak,Laurie Halse Anderson,4.05,606117,56721
271,"Marked (House of Night, #1)",P.C. Cast,3.81,506136,56706
272,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.66,543844,55649
273,The Sound and the Fury,William Faulkner,3.86,186371,55614
274,The Shack: Where Tragedy Confronts Eternity,William Paul Young,3.83,663279,55597
275,Fear and Loathing in Las Vegas,Hunter S. Thompson,4.07,358372,55538
276,The Complete Calvin and Hobbes,Bill Watterson,4.81,40964,55185
277,For Whom the Bell Tolls,Ernest Hemingway,3.98,301068,55153
278,Kafka on the Shore,Haruki Murakami,4.13,495248,54491
279,Island of the Blue Dolphins,Scott O'Dell,3.87,338709,54179
280,Paper Towns,John Green,3.71,1409136,53932
281,Roots: The Saga of an American Family,Alex Haley,4.44,161335,53626
282,Stranger in a Strange Land,Robert A. Heinlein,3.92,317482,53582
283,The Complete Sherlock Holmes,Arthur Conan Doyle,4.5,210026,53544
284,Othello,William Shakespeare,3.89,405299,53478
285,Invisible Man,Ralph Ellison,3.91,192616,53252
286,Into the Wild,Jon Krakauer,4.01,1120356,53085
287,The Idiot,Fyodor Dostoevsky,4.21,192491,52888
288,"Inkheart (Inkworld, #1)",Cornelia Funke,3.92,431124,52808
289,"Neverwhere (London Below, #1)",Neil Gaiman,4.17,544729,52221
290,"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24,749226,52115
291,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.1,206432,51852
292,King Lear,William Shakespeare,3.91,224884,51601
293,"Delirium (Delirium, #1)",Lauren Oliver,3.95,471633,51591
294,The Things They Carried,Tim O'Brien,4.14,324354,51428
296,Uncle Tom’s Cabin,Harriet Beecher Stowe,3.91,232200,50724
297,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.01,696466,50695
298,The Elephant Tree,R.D. Ronald,3.74,28923,50454
299,Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,3.98,11605,50315
300,Never Let Me Go,Kazuo Ishiguro,3.85,743100,50184
301,"Wonder (Wonder, #1)",R.J. Palacio,4.37,1122566,49869
302,Different Seasons,Stephen King,4.35,210526,49863
303,"Foundation (Foundation, #1)",Isaac Asimov,4.17,557172,49491
304,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.85,996000,49268
305,Midnight Sun [2008 Draft],Stephenie Meyer,4.01,148944,49098
306,"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,4.35,150372,48952
307,The Once and Future King,T.H. White,4.07,114337,48913
308,"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23,1212326,48868
309,I Know This Much Is True,Wally Lamb,4.21,316027,48568
310,The Historian,Elizabeth Kostova,3.8,269638,48286
311,James and the Giant Peach,Roald Dahl,4.03,487174,48264
312,Flow Down Like Silver,Ki Longfellow,4.01,4514,47789
313,The Time Machine,H.G. Wells,3.89,533679,47760
314,Candide,Voltaire,3.76,283928,47642
315,The Complete Works,William Shakespeare,4.48,57253,47632
316,"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,4.23,176580,47548
317,Paradise Lost,John Milton,3.85,170623,47482
318,The Zombie Room,R.D. Ronald,3.79,30099,47367
319,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.41,619397,47297
320,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,4.47,628479,47174
321,"The Final Empire (Mistborn, #1)",Brandon Sanderson,4.48,765409,46970
322,The Thirteenth Tale,Diane Setterfield,3.98,318518,46953
323,Heidi,Johanna Spyri,4.03,203727,46816
324,"The Wise Man’s Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,577877,46627
325,Leaves of Grass,Walt Whitman,4.12,110715,46232
326,East of Eden,John Steinbeck,4.42,563136,46141
327,"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,1689956,46115
328,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.21,544294,46079
329,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.18,3145051,45905
330,"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,469333,45329
331,"Are You There God? It’s Me, Margaret",Judy Blume,3.94,245784,44894
332,’Salem’s Lot,Stephen King,4.1,601743,44785
333,The Martian,Andy Weir,4.42,1169642,44674
334,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.03,1401089,44639
335,The Cider House Rules,John Irving,4.16,188776,44576
336,Fangirl,Rainbow Rowell,3.95,759455,43374
337,Hamlet,William Shakespeare,4.02,983806,43328
338,Walden,Henry David Thoreau,3.78,194010,43208
339,All the Light We Cannot See,Anthony Doerr,4.31,1770442,42965
340,Mrs. Dalloway,Virginia Woolf,3.79,320357,42765
341,"Legend (Legend, #1)",Marie Lu,4.15,541735,42650
342,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.28,313720,42544
343,Sophie’s World,Jostein Gaarder,3.96,266518,42433
344,The Complete Maus,Art Spiegelman,4.58,230781,42146
345,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,358910,42062
346,The Awakening,Kate Chopin,3.68,214616,42016
347,The Graveyard Book,Neil Gaiman,4.16,552484,40877
348,Do Androids Dream of Electric Sheep?,Philip K. Dick,4.09,470141,40528
349,Middlemarch,George Eliot,4.02,168029,40379
350,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83,934659,40062
351,Sophie’s Choice,William Styron,4.17,92294,39949
352,Stardust,Neil Gaiman,4.1,468199,39933
353,The Monster at the End of this Book,Jon Stone,4.46,125832,39828
354,The Prince of Tides,Pat Conroy,4.25,211360,39807
355,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,3.74,384884,39434
357,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,3.97,548507,39121
358,"A Time to Kill (Jake Brigance, #1)",John Grisham,4.12,810036,38871
359,"Bridget Jones’s Diary (Bridget Jones, #1)",Helen Fielding,3.8,996082,38708
360,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,4.3,631247,38681
361,Number the Stars,Lois Lowry,4.19,584410,38641
362,Eleanor & Park,Rainbow Rowell,3.94,1202083,38613
363,"The Magician’s Nephew (Chronicles of Narnia, #6)",C.S. Lewis,4.05,560865,38299
364,V for Vendetta,Alan Moore,4.26,313665,38270
365,The Art of Racing in the Rain,Garth Stein,4.23,531834,38100
366,Franny and Zooey,J.D. Salinger,3.96,228163,37741
367,The Witches,Roald Dahl,4.18,406906,37577
368,American Psycho,Bret Easton Ellis,3.81,329294,37365
369,"The Gunslinger (The Dark Tower, #1)",Stephen King,3.92,628192,37352
370,Beowulf,Unknown,3.49,324674,37328
371,A Short History of Nearly Everything,Bill Bryson,4.22,397541,36958
372,War and Peace,Leo Tolstoy,4.16,339785,36927
373,White Fang,Jack London,4.02,194960,36895
