Index,Book Name,Author,Rating,Number of Votes,Score,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
3088,filth,Irvine Welsh,3.81,30516,1858,9780816643004.0,0816643008,filth,"Dirt, Disgust, and Modern Life",William A. Cohen,History,http://books.google.com/books/content?id=b4RrtwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Focusing on 'filth' in literary & cultural materials from London, Paris & their colonial outposts in the 19th & early 20th centuries, the essays in this volume range over topics from the building of sewers to the fictional representation of labouring women as polluting.",2005.0,4.17,360.0,11.0
3089,lies my teacher told me: everything your american history textbook got wrong,James W. Loewen,3.97,70530,1857,,,,,,,,,,,,
3090,"found (the missing, #1)",Margaret Peterson Haddix,3.98,40918,1855,,,,,,,,,,,,
3091,"the last lumenian (the last lumenian, #1)",S.G. Blaise,4.25,4289,1855,,,,,,,,,,,,
3092,deliverance,James Dickey,3.89,33023,1854,,,,,,,,,,,,
3093,"changes (the dresden files, #12)",Jim Butcher,4.5,118093,1854,,,,,,,,,,,,
3094,"sweet peril (sweet, #2)",Wendy Higgins,4.24,47711,1854,,,,,,,,,,,,
3095,the raw shark texts,Steven Hall,3.83,20858,1854,,,,,,,,,,,,
3096,"the raven king (all for the game, #2)",Nora Sakavic,4.37,70009,1854,,,,,,,,,,,,
3097,"the warrior's apprentice (vorkosigan saga, #2)",Lois McMaster Bujold,4.27,29035,1851,,,,,,,,,,,,
3098,"the goddess test (goddess test, #1)",Aimee Carter,3.79,58571,1850,,,,,,,,,,,,
3099,"the crown (the selection, #5)",Kiera Cass,3.62,289363,1849,,,,,,,,,,,,
3100,good strategy bad strategy: the difference and why it matters,Richard P. Rumelt,4.13,15293,1849,,,,,,,,,,,,
3101,"clockwork angel; clockwork prince; clockwork princess (the infernal devices, #1-3)",Cassandra Clare,4.66,17718,1847,,,,,,,,,,,,
3102,"silver shadows (bloodlines, #5)",Richelle Mead,4.34,62337,1846,,,,,,,,,,,,
3103,"shades of grey (shades of grey, #1)",Jasper Fforde,4.16,39112,1845,,,,,,,,,,,,
3104,the strange case of dr. jekyll and mr. hyde and other tales of terror,Robert Louis Stevenson,3.92,131822,1843,,,,,,,,,,,,
3105,"becoming the one: heal your past, transform your relationship patterns, and come home to yourself",Sheleana Aiyana,4.36,1939,1843,,,,,,,,,,,,
3107,"infinity (chronicles of nick, #1)",Sherrilyn Kenyon,4.04,43055,1841,,,,,,,,,,,,
3108,the moment of lift: how empowering women changes the world,Melinda French Gates,4.27,61949,1841,,,,,,,,,,,,
3109,snow,Orhan Pamuk,3.61,47486,1840,9780394800271.0,0394800273,snow,,Roy McKié;Philip D. Eastman,Juvenile Nonfiction,http://books.google.com/books/content?id=Oz_rWxBPqtQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Snow makes a wonderful playland for boys and girls,1962.0,4.15,72.0,4264.0
3110,the sorrow of war,Bảo Ninh,4.08,9951,1840,,,,,,,,,,,,
3111,"hunger (gone, #2)",Michael Grant,4.02,88368,1839,,,,,,,,,,,,
3112,"the duke and i (bridgertons, #1)",Julia Quinn,3.79,605576,1838,,,,,,,,,,,,
3113,the wall of winnipeg and me,Mariana Zapata,4.19,275881,1837,,,,,,,,,,,,
3114,boy meets boy,David Levithan,3.81,75798,1836,,,,,,,,,,,,
3115,the paris affair,Melanie Hudson,4.43,2681,1835,,,,,,,,,,,,
3116,some animals (the companion chronicles #1),Joshua Todd James,4.35,284,1834,,,,,,,,,,,,
3117,the myth of sisyphus and other essays,Albert Camus,4.22,59813,1833,,,,,,,,,,,,
3118,the bone people,Keri Hulme,4.04,23008,1831,,,,,,,,,,,,
3119,"embrace (the violet eden chapters, #1)",Jessica Shirvington,4.01,26928,1830,,,,,,,,,,,,
3120,"beneath this man (this man, #2)",Jodi Ellen Malpas,4.26,93575,1829,,,,,,,,,,,,
3121,revival,Stephen King,3.8,131160,1829,,,,,,,,,,,,
3122,"the slippery slope (a series of unfortunate events, #10)",Lemony Snicket,4.05,129201,1829,,,,,,,,,,,,
3123,tara road,Maeve Binchy,3.93,80745,1828,,,,,,,,,,,,
3124,fatherland,Robert Harris,4.01,49848,1827,,,,,,,,,,,,
3125,billy summers,Stephen King,4.19,168559,1827,,,,,,,,,,,,
3126,what we lost: inside the attack on canada’s largest children’s charity,Tawfiq S. Rangwala,4.31,737,1827,,,,,,,,,,,,
3127,"thirst no. 1: the last vampire, black blood, and red dice (thirst, #1)",Christopher Pike,3.86,36171,1826,,,,,,,,,,,,
3128,"the magic misfits (the magic misfits, #1)",Neil Patrick Harris,3.99,15305,1826,,,,,,,,,,,,
3129,"children of the mind (ender's saga, #4)",Orson Scott Card,3.78,110209,1825,,,,,,,,,,,,
3130,"fear (gone, #5)",Michael Grant,4.22,52210,1822,,,,,,,,,,,,
3131,"love unscripted (love, #1)",Tina Reber,4.02,68280,1819,,,,,,,,,,,,
3132,einstein’s dreams,Alan Lightman,4.06,40944,1818,,,,,,,,,,,,
3133,"the exiled queen (seven realms, #2)",Cinda Williams Chima,4.32,53262,1818,,,,,,,,,,,,
3134,harry potter and the methods of rationality,Eliezer Yudkowsky,4.39,17555,1818,,,,,,,,,,,,
3135,"the devotion of suspect x (detective galileo, #1)",Keigo Higashino,4.17,66074,1817,,,,,,,,,,,,
3136,"heir to the empire (star wars: the thrawn trilogy, #1)",Timothy Zahn,4.17,95683,1816,,,,,,,,,,,,
3137,"a good girl's guide to murder (a good girl's guide to murder, #1)",Holly Jackson,4.31,1349546,1814,,,,,,,,,,,,
3138,the clown,Heinrich Böll,3.94,29866,1813,,,,,,,,,,,,
3139,skinny legs and all,Tom Robbins,4.06,43205,1812,,,,,,,,,,,,
3140,the city & the city,China Miéville,3.9,72562,1810,,,,,,,,,,,,
3141,the big short: inside the doomsday machine,Michael Lewis,4.3,163588,1810,,,,,,,,,,,,
3142,"grave peril (the dresden files, #3)",Jim Butcher,4.14,169905,1809,,,,,,,,,,,,
3143,the anthropocene reviewed: essays on a human-centered planet,John Green,4.36,139672,1809,,,,,,,,,,,,
3144,"the indian in the cupboard (the indian in the cupboard, #1)",Lynne Reid Banks,3.93,106958,1808,,,,,,,,,,,,
3145,the running man,Richard Bachman,3.9,139229,1808,9780451197962.0,0451197968,the running man,,Stephen King;Richard Bachman,Fiction,http://books.google.com/books/content?id=3g9dN4rVVEUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Welcome to America in 2025 when the best men don't run for president. They run for thier lives--in the ultimate death game.,1999.0,3.86,317.0,79294.0
3146,"these broken stars (starbound, #1)",Amie Kaufman,3.89,70556,1807,,,,,,,,,,,,
3147,"the butterfly garden (the collector, #1)",Dot Hutchison,4.09,222363,1807,,,,,,,,,,,,
3148,"aurora rising (the aurora cycle, #1)",Amie Kaufman,4.1,69791,1806,,,,,,,,,,,,
3149,"end of days (penryn & the end of days, #3)",Susan Ee,4.06,71317,1805,,,,,,,,,,,,
3150,"the unwanteds (unwanteds, #1)",Lisa McMann,4.12,42612,1803,,,,,,,,,,,,
3151,what if?: serious scientific answers to absurd hypothetical questions,Randall Munroe,4.14,182931,1802,,,,,,,,,,,,
3152,convenience store woman,Sayaka Murata,3.68,309492,1802,,,,,,,,,,,,
3153,"apollyon (covenant, #4)",Jennifer L. Armentrout,4.31,58603,1801,,,,,,,,,,,,
3154,walden & civil disobedience,Henry David Thoreau,3.94,38083,1800,,,,,,,,,,,,
3155,what alice forgot,Liane Moriarty,4.07,484048,1800,,,,,,,,,,,,
3156,"drum beats, heart beats (dancing soul trilogy, #3)",Maria Nhambu,4.29,2713,1800,,,,,,,,,,,,
3157,the best ghost stories of h. russell wakefield,H. Russell Wakefield,3.79,61,1800,,,,,,,,,,,,
3158,coma,Robin Cook,3.88,52230,1800,,,,,,,,,,,,
3159,the romance of the forest,Ann Radcliffe,3.49,2861,1800,,,,,,,,,,,,
3161,"slated (slated, #1)",Teri Terry,4.07,32210,1799,,,,,,,,,,,,
3162,"hyperbole and a half: unfortunate situations, flawed coping mechanisms, mayhem, and other things that happened",Allie Brosh,4.17,210316,1799,,,,,,,,,,,,
3163,strangers,Dean Koontz,4.01,46562,1798,9780425181119.0,0425181111,strangers,,Dean Koontz,Fiction,http://books.google.com/books/content?id=CUAWZvJy2EoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A group of seemingly unrelated people experiences sensations of numbing terror and fear and, groping their way toward one another, discover their sinister, shared secrets in a chilling climax that changes their lives forever. Reissue.",2002.0,4.0,704.0,38003.0
3164,"rebel of the sands (rebel of the sands, #1)",Alwyn Hamilton,3.96,64059,1798,,,,,,,,,,,,
3165,"never never (never never, #1)",Colleen Hoover,3.81,129982,1797,,,,,,,,,,,,
3166,the guest list,Lucy Foley,3.81,1100723,1795,,,,,,,,,,,,
3167,a bright shining lie: john paul vann and america in vietnam,Neil Sheehan,4.24,12186,1794,,,,,,,,,,,,
3168,"the first step (a thousand li, #1)",Tao Wong,4.1,6059,1794,,,,,,,,,,,,
3169,"stars above (the lunar chronicles, #4.5)",Marissa Meyer,4.16,99406,1792,,,,,,,,,,,,
3170,"bangtails, grifters, and a liar's kiss (o'shaughnessy investigations inc. 2)",A.G. Russo,4.41,768,1791,,,,,,,,,,,,
3171,"twisted lies (twisted, #4)",Ana Huang,4.2,481367,1790,,,,,,,,,,,,
3172,"the dark winter (whiteout, #2)",Flint Maxwell,4.03,2133,1790,,,,,,,,,,,,
3173,vampire origins - project ichorous (the strigoi #1),Riley Banks,3.95,165,1789,,,,,,,,,,,,
3175,"moving pictures (discworld, #10; industrial revolution, #1)",Terry Pratchett,3.97,83890,1788,,,,,,,,,,,,
3176,"spellbound in his arms (the greek isles series, #1)",Angel Sefer,3.86,369,1788,,,,,,,,,,,,
3177,"forsaken (the secret life of amy bensen, #3)",Lisa Renee Jones,4.05,2912,1788,,,,,,,,,,,,
3178,the monk,Matthew Gregory Lewis,3.84,30061,1787,,,,,,,,,,,,
3179,finding audrey,Sophie Kinsella,3.75,82556,1787,,,,,,,,,,,,
3180,loving frank,Nancy Horan,3.77,99866,1786,,,,,,,,,,,,
3181,"the sorcerer in the north (ranger's apprentice, #5)",John Flanagan,4.28,78353,1786,,,,,,,,,,,,
3182,"green rider (green rider, #1)",Kristen Britain,4.08,39097,1785,,,,,,,,,,,,
3183,"king rat (asian saga, #4)",James Clavell,4.19,41708,1785,,,,,,,,,,,,
3184,lincoln,Gore Vidal,4.24,9543,1782,9780349105307.0,0349105308,lincoln,,Gore Vidal,Political fiction,http://books.google.com/books/content?id=59WHPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the hazardous fictional terrain of his historical novels, Gore Vidal is never especially kind to American history in general, or to its icons in particular. Yet in this brilliantly realised study of Abraham Lincoln, he paints a surprising and near-heroic picture of the man who led America through four of the most divisive and dangerous years of the nation's history. Observed alternately by his loved ones, his rivals and his future assassins, Lincoln at first appears as an inept and naïve backwoods lawyer. People in this novel are not averse to turning up, getting drunk, and regaling the reader with details of Lincoln's whoring activities and his seemingly inexhaustible supply of folksy stories. Yet gradually Lincoln the towering leader of deep vision emerges in a Washington engulfed by fear, greed and the horrors of the Civil War. Lincoln's loving but mentally decomposing wife, his view from the White House on slavery and America's bloodiest war, and his own, fierce personal ambition: all are portrayed with a vibrancy and an urgency that almost belies what they have now become ? history itself.",1994.0,4.2,736.0,27.0
3185,the blood legacy: a xianxia cultivation fantasy (the divine elements book 1),Daman,4.22,1504,1782,,,,,,,,,,,,
3186,"lioness rampant (song of the lioness, #4)",Tamora Pierce,4.28,91346,1781,,,,,,,,,,,,
3187,don't look back,Jennifer L. Armentrout,4.09,34276,1781,,,,,,,,,,,,
3188,"brownout - 666: a journey through sex, love and violence in the ultimate search",John Richard Spencer,4.38,503,1779,,,,,,,,,,,,
3189,love auction: too risky to love again,Sharon Carter,4.31,2572,1779,,,,,,,,,,,,
3190,the emperor of all maladies: a biography of cancer,Siddhartha Mukherjee,4.34,106048,1778,,,,,,,,,,,,
3191,in our bones,Pernell Plath Meier,4.23,1849,1778,,,,,,,,,,,,
3192,revolution,Jennifer Donnelly,4.01,29777,1776,,,,,,,,,,,,
3193,"rule (marked men, #1)",Jay Crownover,4.11,101168,1775,,,,,,,,,,,,
3194,stones (one true child #5),L.C. Conn,4.45,137,1775,,,,,,,,,,,,
3195,wir kinder vom bahnhof zoo,Christiane V. Felscherinow,4.35,66904,1774,,,,,,,,,,,,
3196,fever 1793,Laurie Halse Anderson,3.93,128016,1773,,,,,,,,,,,,
3197,"the fairy next book (a fairy awesome story, #2)",Ellie Aiden,4.41,356,1773,,,,,,,,,,,,
3198,the duke of d.c.: the american dream,James Allen Moseley,4.32,387,1772,,,,,,,,,,,,
3199,the child thief,Brom,4.08,19885,1770,,,,,,,,,,,,
3200,flags of our fathers,James D. Bradley,4.22,61896,1770,9780440229209.0,0440229200,flags of our fathers,Heroes of Iwo Jima,James Bradley,Juvenile Fiction,http://books.google.com/books/content?id=QHIw64z6B0wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Provides the true story of the actions that led to the raising of the flag at Iwo Jima by the American Marines in February 1945, complete with maps and an eight-page photo insert. Reissue.",2006.0,4.17,224.0,235.0
3201,"one grave at a time (night huntress, #6)",Jeaniene Frost,4.23,49803,1770,,,,,,,,,,,,
3202,dewey: the small-town library cat who touched the world,Vicki Myron,3.87,61087,1769,,,,,,,,,,,,
3203,"the fairiest fairy of them all (a fairy awesome story, #3)",Ellie Aiden,4.55,313,1769,,,,,,,,,,,,
3204,"raised by wolves (raised by wolves, #1)",Jennifer Lynn Barnes,3.92,29548,1768,,,,,,,,,,,,
3205,the power of habit: why we do what we do in life and business,Charles Duhigg,4.13,524986,1766,,,,,,,,,,,,
3206,the beautiful and damned,F. Scott Fitzgerald,3.73,60910,1766,,,,,,,,,,,,
3207,building a second brain: a proven method to organize your digital life and unlock your creative potential,Tiago Forte,4.06,17931,1766,,,,,,,,,,,,
3208,"the rose & the dagger (the wrath and the dawn, #2)",Renée Ahdieh,4.04,96301,1764,,,,,,,,,,,,
3209,i fell in love with hope,Lancali,3.86,26710,1764,,,,,,,,,,,,
3210,life... love... kumbh...,Aporva Kala,3.58,2036,1762,,,,,,,,,,,,
3211,"pleasure unbound (demonica, #1)",Larissa Ione,4.05,54484,1761,,,,,,,,,,,,
3212,the first 90 days: critical success strategies for new leaders at all levels,Michael D. Watkins,3.86,33304,1760,,,,,,,,,,,,
3213,circle of friends,Maeve Binchy,4.07,66380,1759,9780099498599.0,0099498596,circle of friends,,Maeve Binchy,College attendance,http://books.google.com/books/content?id=P4-i_eBBhL8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"It began with Benny Hogan and Eve Malone, growing up, inseparable, in the village of Knockglen. Benny--the only child, yearning to break free from her adoring parents...Eve--the orphaned offspring of a convent handyman and a rebellious blueblood, abandoned by her mother's wealthy family to be raised by nuns. Eve and Benny--they knew the sins and secrets behind every villager's lace curtains...except their own. It widened at Dublin, at the university where Benny and Eve met beautiful Nan Mahlon and Jack Foley, a doctor's handsome son. But heartbreak and betrayal would bring the worlds of Knockglen and Dublin into explosive collision. Long-hidden lies would emerge to test the meaning of love and the strength of ties held within the fragile gold bands of a... Circle Of Friends. From the Paperback edition.",2006.0,4.02,722.0,50668.0
3214,"the absolute sandman, volume 1",Neil Gaiman,4.64,22272,1759,,,,,,,,,,,,
3215,"his majesty's dragon (temeraire, #1)",Naomi Novik,4.06,104445,1759,,,,,,,,,,,,
3216,conversations with friends,Sally Rooney,3.75,518809,1759,,,,,,,,,,,,
3217,"a reaper at the gates (an ember in the ashes, #3)",Sabaa Tahir,4.15,101389,1759,,,,,,,,,,,,
3218,sown in tears: a historical novel of love and struggle,Beverly Magid,4.32,621,1759,,,,,,,,,,,,
3219,"stop overthinking: 23 techniques to relieve stress, stop negative spirals, declutter your mind, and focus on the present (the path to calm book 1)",Nick Trenton,3.76,5877,1758,,,,,,,,,,,,
3220,naked,David Sedaris,4.1,268152,1757,,,,,,,,,,,,
3221,the robe,Lloyd C. Douglas,4.23,26344,1756,,,,,,,,,,,,
3222,"lord foul's bane (the chronicles of thomas covenant the unbeliever, #1)",Stephen R. Donaldson,3.72,48679,1756,,,,,,,,,,,,
3223,killing yourself to live: 85% of a true story,Chuck Klosterman,3.85,28152,1755,,,,,,,,,,,,
3224,the lost boy (dave pelzer #2),Dave Pelzer,4.11,69191,1754,,,,,,,,,,,,
3225,how to talk to anyone: 92 little tricks for big success in relationships,Leil Lowndes,3.7,38672,1754,,,,,,,,,,,,
3226,non violent communication a language of life,Marshall B. Rosenberg,4.34,42433,1754,,,,,,,,,,,,
3227,"river secrets (the books of bayern, #3)",Shannon Hale,4.05,36621,1752,,,,,,,,,,,,
3228,"the killing dance (anita blake, vampire hunter, #6)",Laurell K. Hamilton,4.13,73866,1752,,,,,,,,,,,,
3229,"the serpent and the wings of night (crowns of nyaxia, #1)",Carissa Broadbent,4.31,452056,1752,,,,,,,,,,,,
3230,"isla and the happily ever after (anna and the french kiss, #3)",Stephanie Perkins,3.99,118022,1747,,,,,,,,,,,,
3231,the spitfire girls,Soraya M. Lane,4.34,9144,1747,,,,,,,,,,,,
3232,"the winner's crime (the winner's trilogy, #2)",Marie Rutkoski,4.09,67270,1746,,,,,,,,,,,,
3233,the known world,Edward P. Jones,3.83,42673,1745,9780007195305.0,0007195303,the known world,,Edward P. Jones,African American plantation owners,http://books.google.com/books/content?id=CVS9a6lC5CwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,An epic narrative that takes a look at slavery in all of its moral complexities.,2004.0,3.83,388.0,437.0
3233,the known world,Edward P. Jones,3.83,42673,1745,9780061159176.0,0061159174,the known world,,Edward P. Jones,Fiction,http://books.google.com/books/content?id=NE-vsBpIuQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the most acclaimed novels in recent memory, The Known World is a daring and ambitious work by Pulitzer Prize winner Edward P. Jones. The Known World tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities.",2006.0,3.83,388.0,28962.0
3234,"read people like a book: how to analyze, understand, and predict people’s emotions, thoughts, intentions, and behaviors",Patrick King,3.45,3476,1745,,,,,,,,,,,,
3235,"keys to the demon prison (fablehaven, #5)",Brandon Mull,4.45,85307,1741,,,,,,,,,,,,
3236,the humans,Matt Haig,4.08,136791,1740,,,,,,,,,,,,
3237,we were soldiers once... and young: ia drang - the battle that changed the war in vietnam,Harold G. Moore,4.33,31609,1739,,,,,,,,,,,,
3238,the aleph and other stories,Jorge Luis Borges,4.33,43765,1739,,,,,,,,,,,,
3239,fantastic mr. fox,Roald Dahl,4.08,138189,1739,,,,,,,,,,,,
3240,"archenemies (renegades, #2)",Marissa Meyer,4.25,91547,1739,,,,,,,,,,,,
3241,the sheltering sky,Paul Bowles,3.89,29107,1738,9780060834821.0,006083482X,the sheltering sky,,Paul Bowles,Fiction,,"The Sheltering Sky is a landmark of twentieth-century literature. In this intensely fascinating story, Paul Bowles examines the ways in which Americans' incomprehension of alien cultures leads to the ultimate destruction of those cultures. A story about three American travelers adrift in the cities and deserts of North Africa after World War II, The Sheltering Sky explores the limits of humanity when it touches the unfathomable emptiness and impassive cruelty of the desert. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",2005.0,3.91,313.0,898.0
3242,"taking chances (taking chances, #1)",Molly McAdams,3.84,47651,1738,,,,,,,,,,,,
3243,a thousand acres,Jane Smiley,3.82,69992,1736,9781400033836.0,1400033837,a thousand acres,A Novel,Jane Smiley,Fiction,http://books.google.com/books/content?id=Y5YMzpFJlo4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"On a prosperous Iowa farm in the 1970s, wealthy farmer Lawrence Cook announces his intentions to divide the farm among his daughters, setting off a family crisis reminiscent of Shakespeare's ""King Lear."" Reader's Guide available. Reprint. 12,500 first printing.",2003.0,3.8,371.0,51670.0
3244,pinocchio,Carlo Collodi,3.85,82705,1735,,,,,,,,,,,,
3245,the diamond eye,Kate Quinn,4.29,156077,1735,,,,,,,,,,,,
3246,"patriot games (jack ryan, #1)",Tom Clancy,4.16,208805,1734,,,,,,,,,,,,
3247,"la catedral del mar (la catedral del mar, #1)",Ildefonso Falcones,4.16,57942,1734,,,,,,,,,,,,
3248,"the archived (the archived, #1)",Victoria E. Schwab,3.96,34757,1733,,,,,,,,,,,,
3249,the complete wreck,Lemony Snicket,4.34,16395,1732,,,,,,,,,,,,
3250,the bridge of san luis rey,Thornton Wilder,3.79,36143,1730,,,,,,,,,,,,
3251,who has buried the dead?: from stalin to putin … the last great secret of world war two,K.G.E. Konkel,4.32,1700,1730,,,,,,,,,,,,
3252,"the mysterious benedict society and the prisoner's dilemma (the mysterious benedict society, #3)",Trenton Lee Stewart,4.29,42928,1729,,,,,,,,,,,,
3253,the ride of a lifetime: lessons learned from 15 years as ceo of the walt disney company,Robert Iger,4.41,87554,1729,,,,,,,,,,,,
3254,march,Geraldine Brooks,3.81,72560,1728,9780143036661.0,0143036661,march,,Geraldine Brooks,Fiction,http://books.google.com/books/content?id=-pOd81IGgmUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a story inspired by the father character in Little Women and drawn from the journals and letters of Louisa May Alcott's father Bronson, a man leaves behind his family to serve in the Civil War and finds his marriage and beliefs profoundly challenged by his experiences. Reader's Guide included. Reprint.",2006.0,3.75,280.0,47704.0
3255,travesuras de la niña mala,Mario Vargas Llosa,4.13,43925,1728,,,,,,,,,,,,
3256,almond,Sohn Won-Pyung,4.16,133621,1728,,,,,,,,,,,,
3257,last vote (emma last fbi mystery series book 10),Mary Stone,4.6,1606,1728,,,,,,,,,,,,
3258,"the icebound land (ranger's apprentice, #3)",John Flanagan,4.24,90536,1726,,,,,,,,,,,,
3259,"still life (chief inspector armand gamache, #1)",Louise Penny,3.9,260439,1725,,,,,,,,,,,,
3260,the poet x,Elizabeth Acevedo,4.38,132873,1723,,,,,,,,,,,,
3261,snow country,Yasunari Kawabata,3.58,35404,1722,9780679761044.0,0679761047,snow country,,Yasunari Kawabata,Fiction,http://books.google.com/books/content?id=2_iSExrgqy8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Follows the story of a tragic affair between a wealthy dilettante and a mountain geisha who gives herself to him without illusions or regrets, in a tale of wasted love by the Nobel Prize-winning Japanese author. Reprint. 10,000 first printing.",1996.0,3.68,175.0,12085.0
3262,the largesse of the sea maiden,Denis Johnson,3.93,8776,1722,,,,,,,,,,,,
3263,beneath a scarlet sky,Mark T. Sullivan,4.43,353195,1721,,,,,,,,,,,,
3264,the tortilla curtain,T. Coraghessan Boyle,3.66,33254,1720,9780140238280.0,014023828X,the tortilla curtain,,T. Coraghessan Boyle,Fiction,http://books.google.com/books/content?id=ZA_BOPDj3-YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The lives of two different couples--wealthy Los Angeles liberals Delaney and Kyra Mossbacher, and Candido and America Rincon, a pair of Mexican illegals--suddenly collide, in a story that unfolds from the shifting viewpoints of the various characters",1996.0,3.65,355.0,23410.0
3265,"hourglass (evernight, #3)",Claudia Gray,3.78,44948,1720,,,,,,,,,,,,
3266,"without remorse (john clark, #1; jack ryan universe publication order, #6)",Tom Clancy,4.21,73106,1720,,,,,,,,,,,,
3267,the shock doctrine: the rise of disaster capitalism,Naomi Klein,4.27,49301,1719,,,,,,,,,,,,
3268,influence: the psychology of persuasion,Robert B. Cialdini,4.22,161044,1719,,,,,,,,,,,,
3269,gone for good,Harlan Coben,4.11,66958,1718,9780440236733.0,0440236738,gone for good,,Harlan Coben,Fiction,http://books.google.com/books/content?id=ppjCHXrMa50C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Investigating his girlfriend's mysterious disappearance, Will Klein learns that she is somehow tied to his brother's death and becomes increasingly disturbed when he realizes that everyone he loves is harboring dark secrets. By the author of Tell No One. Reprint.",2002.0,4.11,432.0,33601.0
3270,the constant gardener,John Le Carré,3.82,29270,1717,,,,,,,,,,,,
3271,tender is the flesh,Agustina Bazterrica,3.78,258206,1717,,,,,,,,,,,,
3272,strengths finder 2.0,Tom Rath,3.93,55608,1716,,,,,,,,,,,,
3273,junky,William S. Burroughs,3.85,66711,1716,,,,,,,,,,,,
3274,"men at arms (discworld, #15; city watch, #2)",Terry Pratchett,4.41,105104,1714,,,,,,,,,,,,
3275,and the ass saw the angel,Nick Cave,3.85,10840,1713,,,,,,,,,,,,
3276,i am one of you forever,Fred Chappell,4.1,1538,1712,,,,,,,,,,,,
3277,best served cold,Joe Abercrombie,4.23,97244,1712,,,,,,,,,,,,
3278,rubáiyát of omar khayyám,Omar Khayyám,4.17,21975,1712,,,,,,,,,,,,
3279,"the program (the program, #1)",Suzanne Young,4.04,58756,1711,,,,,,,,,,,,
3280,never split the difference: negotiating as if your life depended on it,Chris Voss,4.36,174409,1711,,,,,,,,,,,,
3281,"the secret of the old clock (nancy drew mystery stories, #1)",Carolyn Keene,3.98,80251,1710,,,,,,,,,,,,
3282,"hannibal rising (hannibal lecter, #4)",Thomas Harris,3.56,49919,1710,,,,,,,,,,,,
3283,dress your family in corduroy and denim,David Sedaris,4.11,282370,1709,,,,,,,,,,,,
3284,"enemies among us (nick reagan, #2)",Jeffrey S. Stephens,4.32,1400,1708,,,,,,,,,,,,
3285,high-rise,J.G. Ballard,3.61,34542,1707,,,,,,,,,,,,
3286,"farewell, my lovely (philip marlowe, #2)",Raymond Chandler,4.1,40485,1707,,,,,,,,,,,,
3287,the dark half,Stephen King,3.81,145850,1707,9780450524684.0,045052468X,the dark half,,Stephen King,English fiction,http://books.google.com/books/content?id=0Ym_QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Written by the author of CARRIE, 'SALEM'S LOT, THE SHINING and CHRISTINE, this novel features Thad Beaumont, a Pulitzer Prize-winning author who has developed a lucrative thriller-writing alter ego named George Stark. He stops being fun so Beaumont wants to kill him.",1990.0,3.76,469.0,105027.0
3288,"the mad ship (liveship traders, #2)",Robin Hobb,4.31,71768,1707,,,,,,,,,,,,
3289,a woman of no importance: the untold story of the american spy who helped win world war ii,Sonia Purnell,4.15,52419,1706,,,,,,,,,,,,
3290,"austenland (austenland, #1)",Shannon Hale,3.55,89604,1705,,,,,,,,,,,,
3291,the education of little tree,Forrest Carter,4.13,17225,1705,,,,,,,,,,,,
3292,fruzzle's mystery talent: a bed time fantasy story for children ages 3-10,Karen (Kara) Brueggeman,4.4,70,1705,,,,,,,,,,,,
3293,"the lady in the lake (philip marlowe, #4)",Raymond Chandler,4.06,26209,1704,,,,,,,,,,,,
3294,"death masks (the dresden files, #5)",Jim Butcher,4.29,141299,1701,,,,,,,,,,,,
3295,time's arrow,Martin Amis,3.76,16822,1700,,,,,,,,,,,,
3296,the book of occult,Simon W. Clark,3.64,3492,1700,,,,,,,,,,,,
3297,"a curse so dark and lonely (cursebreakers, #1)",Brigid Kemmerer,3.97,167365,1700,,,,,,,,,,,,
3298,"searching for ganesha: collecting images of the sweet-loving, elephant-headed hindu deity everybody admires",Paul Spencer Sochaczewski,4.35,632,1700,,,,,,,,,,,,
3299,the house next door,Anne Rivers Siddons,3.88,12699,1700,,,,,,,,,,,,
3300,the house: uncorrected proof,Bentley Little,3.66,4345,1700,,,,,,,,,,,,
3302,"nevada nightmare (the hitman, no 3)",Norman Winski,0.0,0,1700,,,,,,,,,,,,
3304,true grit,Charles Portis,4.17,63124,1699,,,,,,,,,,,,
