Index,Book Name,Author,Rating,Number of Votes,Score,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
27,lord of the flies,William Golding,3.7,2991952,905864,9780571084838.0,0571084834,lord of the flies,,William Golding,Airplane crash survival,,"After a plane crash strands them on a tropical island while the rest of the world is ravaged by war, a group of British schoolboys attempts to form a civilized society but descends into brutal anarchy.",1954.0,3.67,223.0,4498.0
27,lord of the flies,William Golding,3.7,2991952,905864,9780812416114.0,0812416112,lord of the flies,,William Golding,Fiction,http://books.google.com/books/content?id=2DAZmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Story of the return to the wild of a group of British schoolboys marooned on an island.,1959.0,3.67,208.0,310.0
28,"anne of green gables (anne of green gables, #1)",L.M. Montgomery,4.32,1020731,897588,,,,,,,,,,,,
29,romeo and juliet,William Shakespeare,3.74,2669633,889809,9780743477116.0,0743477111,romeo and juliet,,William Shakespeare,Drama,http://books.google.com/books/content?id=1cEsNsWYbK4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Offers explanatory notes on pages facing the text of the play, as well as an introduction to Shakespeare's language, life, and theater",1992.0,3.74,283.0,1811259.0
29,romeo and juliet,William Shakespeare,3.74,2669633,889809,9780743482806.0,0743482808,romeo and juliet,,William Shakespeare;Barbara A. Mowat;Paul Werstine,Drama,http://books.google.com/books/content?id=ZF0U9-ZsQZgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Offers explanatory notes on pages facing the text of the play, as well as an introduction to Shakespeare's language, life, and theater.",2004.0,3.74,281.0,292.0
29,romeo and juliet,William Shakespeare,3.74,2669633,889809,9780748702558.0,0748702555,romeo and juliet,,William Shakespeare,Drama,http://books.google.com/books/content?id=i8ss1Z35ZU4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Presents the original text of Shakespeare's play side by side with a modern version, discusses the author and the theater of his time, and provides quizzes and other study activities.",1985.0,3.74,288.0,180.0
30,"city of bones (the mortal instruments, #1)",Cassandra Clare,4.07,2052448,841955,,,,,,,,,,,,
31,"the hitchhiker’s guide to the galaxy (hitchhiker's guide to the galaxy, #1)",Douglas Adams,4.23,1897083,840179,,,,,,,,,,,,
32,the help,Kathryn Stockett,4.47,2850263,823399,,,,,,,,,,,,
33,dracula,Bram Stoker,4.02,1325783,815099,9780140620634.0,014062063X,dracula,,Bram Stoker,"Dracula, Count (Fictitious character)",http://books.google.com/books/content?id=0fbAkQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Irish author Bram Stoker introduced the character of Count Dracula and provided the basis of modern vampire fiction in his 1897 novel entitled ""Dracula."" Written as a series of letters, newspaper clippings, diary entries, and ships' logs, the story begins with lawyer Jonathan Harker journeying to meet Dracula at his remote castle to complete a real estate transaction. Harker soon discovers that he is being held prisoner, and that Dracula has a rather disquieting nocturnal life. Touching on themes such as Victorian culture, immigration, and colonialism, among others, this timeless classic is sure to keep readers on the edge of their seats! Now available as part of the Canterbury Classics singles series, ""Dracula"" is a must-have addition to the libraries of all classic literature lovers.",1994.0,3.99,449.0,1609.0
